theme,indicator_code,indicator_label,respondent_type,value_pct,year_prev_pct,notes,change_pp
me_and_the_world,global_talent_worry_entry_level_disappear,Talent who worry that entry-level jobs will disappear in the next five years because of AI,talent,41.0,,p.14: '41% talent: I worry that entry-level jobs will disappear in the next five years because of AI',
me_and_my_team,global_talent_strong_manager_relationship,Talent who say they have a strong relationship with their manager,talent,72.0,64.0,"p.19: '72% of talent say they have a strong relationship with their manager, up 8 percentage points from 2025'",8.0
me_and_my_team,global_talent_more_connected_manager_than_company,Talent who feel more connected to their manager than to the company,talent,63.0,,p.19: '63% also said they felt more connected to their manager than to the company as a whole',
me_and_my_team,global_talent_seek_reassurance_manager,Talent who seek more reassurance from manager due to volatile macro environment,talent,60.0,,p.19/21: '60% talent: I seek more reassurance from my manager because of the volatile macroeconomic environment',
me_and_my_team,global_talent_avoid_issues_manager_insecurity,Talent who avoid raising issues with manager due to job insecurity,talent,55.0,,p.19/21: '55% talent: I avoid raising issues with my manager due to job insecurity',
me_and_my_team,global_talent_use_ai_work_advice,Talent who use AI for work advice instead of asking their manager,talent,50.0,,p.19: 'half of talent surveyed state that they use AI for work advice instead of their manager',
me_and_my_team,global_employer_encourage_manager_checkins,Employers actively encouraging managers to check in with talent more due to retention risks,employer,66.0,,p.19/21: '66% employer: I have encouraged managers to check in with employees more due to retention risks',
me_and_my_team,global_talent_trust_leadership,Talent who feel they can trust the leadership of their company,talent,72.0,76.0,p.18: 'trust in leadership (72%) ... declining slightly since last year [~76% in 2025]',-4.0
me_and_my_team,global_talent_trust_colleagues,Talent who trust their colleagues,talent,76.0,79.0,p.18: 'trust ... among colleagues (76%) both declining slightly since last year [~79% in 2025]',-3.0
me_and_my_team,global_talent_workplace_community,Talent who say their workplace provides a sense of community,talent,72.0,79.0,"p.18: 'Close to three-quarters of talent (72%) state that their workplace does this successfully, although this sentiment has softened slightly since 2025 (79%)'",-7.0
me_and_my_team,global_talent_authentic_self_at_work,Talent who say they can be their authentic selves at work,talent,76.0,,p.18: '76% say they can be their authentic selves at work',
me_and_my_team,global_talent_avoid_politics_at_work,Talent who actively avoid discussing politics with colleagues,talent,43.0,,p.18: '43% of respondents state that they actively avoid political discussions',
me_and_my_team,global_talent_more_productive_collaborating,Talent who are more productive when collaborating and taking multiple perspectives on board,talent,78.0,,p.20/21: '78% — I am more productive when I collaborate and multiple perspectives are involved',
me_and_my_team,global_talent_rely_different_generations,Talent who rely on colleagues from different generations to broaden perspectives,talent,74.0,,p.20: '74% of talent say they rely on people from different generations to broaden their perspectives',
me_and_my_team,global_employer_generational_diversity_productivity,Employers who say having a mix of generations working together is positive for productivity,employer,95.0,,p.20/21: '95% of employers highlight generational diversity as a productivity lever',
me_and_my_team,global_employer_want_improve_collaboration,Employers who want management to spend more time improving team collaboration,employer,90.0,,p.20: '90% want to see management spend more time improving team collaboration',
me_and_my_team,global_employer_remote_collaboration_challenging,Employers who say remote or hybrid work has made collaboration more challenging,employer,81.0,,p.6/20/21: '81% [employers] stating that remote or hybrid work has made collaboration more challenging',
me_and_my_team,global_talent_office_boosts_productivity,Talent who feel working in the office with their team boosts productivity,talent,48.0,,p.20/21: '48% of talent feel that working in the office with their team boosts their productivity',
me_and_my_team,global_talent_quit_lack_collaboration,Talent who have quit a job because there was no collaborative atmosphere,talent,31.0,,p.20/21: '31% of talent quit a job because there wasn't a collaborative atmosphere',
me_self_defined_success,global_talent_pay_attracts,Talent who say pay is the top factor when looking for a new job,talent,81.0,,p.7/26: '81% of talent say that pay is the top factor when looking for a new job',
me_self_defined_success,global_talent_wlb_main_retention,Talent who say work-life balance is the main reason for staying in current role,talent,46.0,,p.7/26: 'work-life balance (46%) remains above pay and job security (23% each) as the main reason for staying',
me_self_defined_success,global_talent_job_security_retention,Talent who say job security is the main reason for staying in current role,talent,23.0,,p.7/26: 'pay and job security (23% each) as the main reason for staying',
me_self_defined_success,global_talent_pay_retention,Talent who say pay/benefits is the main reason for staying in current role,talent,23.0,,p.7/26: 'pay and job security (23% each) as the main reason for staying',
me_self_defined_success,global_talent_quit_personal_life,Talent who have quit a job incompatible with their personal life,talent,39.0,37.0,"p.7/27: '39% quit a job incompatible with their personal life, up from 37% last year'",2.0
me_self_defined_success,global_talent_want_portfolio_career,Talent who do not want a linear career but prefer different jobs across sectors,talent,38.0,,"p.7/25: 'Nearly 2 in 5 talent (38%) agree, stating that they don't want a linear career'",
me_self_defined_success,global_talent_want_linear_career,Talent who still desire a traditional linear career path,talent,41.0,,p.25: 'a comparable share (41%) still desire a traditional career path',
me_self_defined_success,global_employer_linear_career_outdated,Employers who feel the traditional linear career path is outdated,employer,72.0,,p.7/25: '72% [of employers] feel that the traditional linear career path is outdated',
me_self_defined_success,global_employer_autonomy_boosts_engagement,"Employers who believe autonomy boosts engagement, productivity and retention",employer,72.0,,"p.7/27: '72% of employers believe autonomy boosts engagement, productivity and retention'",
me_self_defined_success,global_employer_dont_let_talent_set_schedule,Employers who do not let talent set their own schedules,employer,81.0,,p.7/27: '81% don't let talent set their own schedules',
me_self_defined_success,global_talent_left_lack_independence,Talent who quit a job because they lacked independence,talent,25.0,,p.27: 'A quarter of the respondents said they quit because they lacked independence',
me_self_defined_success,global_talent_location_flexibility,Talent whose job provides location flexibility (where they work),talent,53.0,60.0,p.26: 'location autonomy ... down to 53% from 60% in 2025',-7.0
me_self_defined_success,global_talent_hours_flexibility,Talent whose job provides flexibility in working hours (when they work),talent,62.0,65.0,p.26: 'share of those whose jobs provide flexibility in terms of working hours ... is down slightly from 65% to 62% since last year',-3.0
me_self_defined_success,global_talent_authentic_self_engaged,Office workers who feel more engaged and productive when they can be their authentic selves,talent,57.0,,p.24/25: '57% of office workers feel more engaged and productive when they can be their authentic self',
me_self_defined_success,global_talent_quit_not_authentic,Talent who have quit a job because they could not be their authentic selves,talent,27.0,,p.25: 'nearly a third of respondents (27%) have quit a job because they could not be their authentic selves',
me_self_defined_success,global_employer_skills_over_qualifications,Employers who prioritize skills and experience over formal qualifications when hiring,employer,87.0,,p.7/25: 'Employers value skills and experience over formal qualifications when hiring (87%)',
